Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s),"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,How satisfied are you with the available meal plan options?,"If the 2020 Democratic primary were held today, which candidate would you vote for?","Taking all things together, how happy would you say you are?",What do you think is the most important issue facing this country today?,How safe do you feel outside on campus after dark?,How safe do you feel outside in areas surrounding campus after dark? (incl. Thayer Street) ,How satisfied are you with your current housing situation?,How often do you use an E-cigarette (e.g. JUUL)?,What type of romantic or sexual relationship are you in right now?,What type of romantic or sexual relationship do you want right now?
Other,Junior,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,Yes,On campus,Strongly disapprove,Somewhat approve,Very satisfied,Bernie Sanders,Not very happy,Race relations/Racism,Somewhat safe,Somewhat safe,Somewhat satisfied,Daily,Not in any kind of relationship,Exclusive relationship with one other person
Male,Sophomore,None,No,Bisexual,White,Humanities/arts,No,No,Domestic,Yes,On campus,Strongly disapprove,No opinion,Very dissatisfied,Kamala Harris,Somewhat happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with multiple people
Female,First-year,"Grants, covering some costs",No,Heterosexual,Black,Life sciences,No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Bernie Sanders,Very happy,Immigration,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,Yes,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Andrew Yang,Somewhat happy,Gun control,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Gap between rich and poor,Very safe,Somewhat safe,Somewhat satisfied,Once or twice a month,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,Asian,Life sciences,Yes,No,Domestic,No,On campus,Somewhat disapprove,No opinion,No opinion,Other,Very happy,Other,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Do not know
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,I am unsure,Don't know,Gap between rich and poor,Very unsafe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,None,No,Heterosexual,White,"Humanities/arts, Business (BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Pete Buttigieg,Somewhat happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Do not know
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Very dissatisfied,Bernie Sanders,Somewhat happy,Gun control,Very safe,Somewhat unsafe,Somewhat satisfied,Never,Consistent hook-ups with one other person,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,Asian,Humanities/arts,No,No,International,No,On campus,No opinion,No opinion,Somewhat dissatisfied,I am unsure,Don't know,Immigration,Very safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Junior,"Grants, covering some costs",No,Bisexual,White,Social sciences (not incl. BEO or econ),No,Yes,Domestic,No,On campus,Somewhat approve,Somewhat disapprove,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,Somewhat disapprove,Somewhat approve,Very dissatisfied,I am ineligible to vote,Don't know,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,No,International,No,On campus,Somewhat approve,Somewhat approve,Very dissatisfied,I am ineligible to vote,Very happy,Other,Somewhat unsafe,Very unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Bisexual,Asian,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Kamala Harris,Somewhat happy,Gap between rich and poor,Very safe,Somewhat safe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Casual hook-ups with multiple people
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Business (BEO or econ)",Yes,No,Domestic,No,On campus,No opinion,No opinion,No opinion,Andrew Yang,Don't know,Other,No opinion,No opinion,No opinion,Never,Do not know,Do not know
Female,First-year,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS), Social sciences (not incl. BEO or econ)",Yes,No,Domestic,No,On campus,No opinion,No opinion,Unsure,Elizabeth Warren,Very happy,Environment/Climate change,Somewhat safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Senior,"Grants, covering some costs",No,Bisexual,"Hispanic, Black",Social sciences (not incl. BEO or econ),No,No,Domestic,No,Off campus,Strongly disapprove,Somewhat approve,Very dissatisfied,Elizabeth Warren,Very happy,Immigration,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Do not know
Female,Sophomore,None,No,Bisexual,White,Humanities/arts,No,No,Domestic,Yes,On campus,No opinion,No opinion,Very dissatisfied,Elizabeth Warren,Very happy,Poverty/Homelessness,Somewhat safe,Somewhat safe,Somewhat satisfied,Once or twice a month,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,"Grants, covering some costs",Yes,Bisexual,White,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Bernie Sanders,Not very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
