Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s),"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,How satisfied are you with the available meal plan options?,"If the 2020 Democratic primary were held today, which candidate would you vote for?","Taking all things together, how happy would you say you are?",What do you think is the most important issue facing this country today?,How safe do you feel outside on campus after dark?,How safe do you feel outside in areas surrounding campus after dark? (incl. Thayer Street) ,How satisfied are you with your current housing situation?,How often do you use an E-cigarette (e.g. JUUL)?,What type of romantic or sexual relationship are you in right now?,What type of romantic or sexual relationship do you want right now?
Male,Sophomore,None,Yes,Heterosexual,"White, Hispanic","Physical sciences (incl. math, CS)",No,Yes,Domestic,No,On campus,Strongly approve,No opinion,Somewhat satisfied,Other,Very happy,Current government leadership,Very safe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Senior,None,No,Bisexual,White,Humanities/arts,No,No,Domestic,No,Off campus,Somewhat approve,No opinion,Somewhat dissatisfied,Elizabeth Warren,Not very happy,Race relations/Racism,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Junior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Andrew Yang,Somewhat happy,Current government leadership,Very safe,Somewhat unsafe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat satisfied,Bernie Sanders,Very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Consistent hook-ups with one other person,Exclusive relationship with one other person
Female,First-year,"Grants, covering some costs",No,Heterosexual,"Asian, Black, American Indian/Alaska Native",Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Very satisfied,Pete Buttigieg,Somewhat happy,Immigration,Somewhat unsafe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,Somewhat approve,No opinion,Somewhat satisfied,Joe Biden,Very happy,Environment/Climate change,Very safe,Very safe,Somewhat unsatisfied,Never,Casual hook-ups with multiple people,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,White,Humanities/arts,Yes,No,Domestic,Yes,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Consistent hook-ups with one other person,Casual hook-ups with multiple people
Female,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",Yes,Heterosexual,White,Business (BEO or econ),Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Joe Biden,Somewhat happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",Yes,Heterosexual,White,Business (BEO or econ),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Other,Somewhat happy,Gap between rich and poor,Very safe,Very safe,Somewhat satisfied,Daily,Casual hook-ups with multiple people,Do not know
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Very happy,Race relations/Racism,Very safe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Junior,"Grants, covering all costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Very dissatisfied,I am unsure,Somewhat happy,Healthcare,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Do not know
Female,First-year,None,No,Heterosexual,"White, Hispanic","Life sciences, Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat satisfied,Joe Biden,Very happy,Gun control,Somewhat unsafe,Very unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Bisexual,Asian,Life sciences,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat dissatisfied,Kamala Harris,Somewhat happy,Current government leadership,Somewhat safe,Somewhat safe,Somewhat unsatisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",No,Gay,Asian,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,No,On campus,Strongly disapprove,Somewhat disapprove,Somewhat dissatisfied,Elizabeth Warren,Not very happy,Race relations/Racism,Somewhat unsafe,Very unsafe,Somewhat unsatisfied,Never,Consistent hook-ups with one other person,Consistent hook-ups with multiple people
Male,Junior,None,Yes,Heterosexual,Asian,"Life sciences, Physical sciences (incl. math, CS)",No,No,Domestic,No,Off campus,Strongly disapprove,No opinion,Somewhat dissatisfied,I am unsure,Very happy,Other,Very safe,Somewhat unsafe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Junior,None,No,Other,"White, Other",Humanities/arts,No,No,Domestic,Yes,On campus,Somewhat approve,Somewhat disapprove,Somewhat satisfied,Elizabeth Warren,Very happy,Environment/Climate change,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Do not know
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat dissatisfied,Pete Buttigieg,Somewhat happy,Race relations/Racism,Somewhat safe,Very safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Heterosexual,White,"Humanities/arts, Life sciences",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Very dissatisfied,I am unsure,Very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,"Humanities/arts, Life sciences",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat satisfied,Elizabeth Warren,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Joe Biden,Somewhat happy,Current government leadership,Very safe,Very safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Junior,None,No,Heterosexual,Hispanic,"Humanities/arts, Life sciences",No,No,International,No,On campus,Strongly disapprove,Somewhat disapprove,Very dissatisfied,Bernie Sanders,Somewhat happy,Environment/Climate change,Somewhat unsafe,Somewhat safe,Very unsatisfied,Once or twice a month,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Junior,"Grants, covering all costs",No,Heterosexual,"White, Hispanic",Life sciences,No,No,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat dissatisfied,Elizabeth Warren,Very happy,Healthcare,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,First-year,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat satisfied,Andrew Yang,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Daily,Casual hook-ups with multiple people,Consistent hook-ups with multiple people
Female,First-year,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Pete Buttigieg,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,Junior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Strongly approve,No opinion,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,First-year,"Grants, covering some costs",Yes,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,International,No,On campus,Strongly approve,Strongly approve,Somewhat satisfied,I am unsure,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Sophomore,"Grants, covering all costs",No,Bisexual,White,Life sciences,No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Social sciences (not incl. BEO or econ)",No,Yes,International,No,Off campus,Somewhat disapprove,Somewhat approve,Very dissatisfied,I am ineligible to vote,Very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Other,Do not know
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat dissatisfied,I am unsure,Somewhat happy,Poverty/Homelessness,Very safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Very dissatisfied,Andrew Yang,Very happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Very dissatisfied,Bernie Sanders,Very happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Consistent hook-ups with multiple people
Male,Junior,"Grants, covering some costs",No,Heterosexual,Black,Business (BEO or econ),No,No,Domestic,Yes,On campus,Somewhat approve,Somewhat approve,Very dissatisfied,Joe Biden,Somewhat happy,Gun control,Somewhat safe,Somewhat safe,Somewhat satisfied,Two to three times a week,Casual hook-ups with multiple people,Consistent hook-ups with one other person
Female,Sophomore,"Grants, covering some costs",Yes,Heterosexual,"White, Black",Life sciences,No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Joe Biden,Somewhat happy,Gun control,Somewhat unsafe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Junior,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Andrew Yang,Not very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Sophomore,None,No,Heterosexual,White,Humanities/arts,Yes,No,Domestic,Yes,On campus,Strongly approve,No opinion,Very dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Once or twice a month,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,Asian,Humanities/arts,No,No,International,No,On campus,No opinion,Somewhat approve,Very dissatisfied,Andrew Yang,Somewhat happy,Current government leadership,Somewhat safe,Very unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Bisexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Joe Biden,Very happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Do not know
Female,Junior,"Grants, covering all costs",Yes,Other,"Hispanic, American Indian/Alaska Native","Life sciences, Business (BEO or econ)",No,Yes,Domestic,No,On campus,Strongly approve,Strongly disapprove,Very dissatisfied,I do not plan on voting,Very happy,Immigration,No opinion,No opinion,Very unsatisfied,Daily,Exclusive relationship with multiple people,Not in any kind of relationship
Female,Junior,"Grants, covering some costs",No,Bisexual,White,Social sciences (not incl. BEO or econ),Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Very dissatisfied,Elizabeth Warren,Very happy,Gap between rich and poor,Very safe,Somewhat unsafe,Somewhat unsatisfied,Never,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,First-year,"Grants, covering all costs",No,Heterosexual,Black,Life sciences,No,Yes,Domestic,No,On campus,Strongly approve,Somewhat approve,Very dissatisfied,Bernie Sanders,Somewhat happy,Current government leadership,Very safe,Somewhat safe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat dissatisfied,Beto O'Rourke,Very happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,"Grants, covering some costs",No,Bisexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Senior,None,No,Heterosexual,White,Social sciences (not incl. BEO or econ),Yes,No,Domestic,No,Off campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Very happy,Current government leadership,Somewhat safe,Very safe,Very satisfied,Once or twice a month,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Life sciences, Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,No opinion,Joe Biden,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Sophomore,None,No,Heterosexual,Asian,"Humanities/arts, Life sciences",Yes,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Very dissatisfied,Kamala Harris,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Daily,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",Yes,No,International,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Poverty/Homelessness,Somewhat safe,Somewhat safe,Very satisfied,Daily,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,None,No,Bisexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Very unsafe,Somewhat unsafe,Very satisfied,Never,Casual hook-ups with multiple people,Consistent hook-ups with multiple people
Male,First-year,"Grants, covering all costs",No,Heterosexual,White,Business (BEO or econ),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Bernie Sanders,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Do not know
Female,Sophomore,None,No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Pete Buttigieg,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat unsatisfied,Never,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,Sophomore,None,No,Gay,White,"Business (BEO or econ), Social sciences (not incl. BEO or econ)",Yes,No,Domestic,No,On campus,Strongly approve,Somewhat disapprove,Somewhat satisfied,Elizabeth Warren,Very happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Other,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat satisfied,Elizabeth Warren,Very happy,Current government leadership,Very safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Junior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Very dissatisfied,Pete Buttigieg,Not very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Two to three times a week,Casual hook-ups with multiple people,Do not know
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,I am ineligible to vote,Somewhat happy,Poverty/Homelessness,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Sophomore,None,No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Very dissatisfied,Elizabeth Warren,Somewhat happy,Gap between rich and poor,Very safe,Very safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat satisfied,Elizabeth Warren,Very happy,Current government leadership,Very safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Very dissatisfied,Elizabeth Warren,Somewhat happy,Gun control,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,Asian,Humanities/arts,No,Yes,International,No,On campus,No opinion,No opinion,Somewhat satisfied,I am ineligible to vote,Somewhat happy,Immigration,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,First-year,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Strongly approve,No opinion,Somewhat satisfied,Pete Buttigieg,Somewhat happy,Gun control,Very safe,Somewhat safe,Very satisfied,Once or twice a month,Not in any kind of relationship,Consistent hook-ups with one other person
Female,First-year,None,No,Heterosexual,Other,"Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Tulsi Gabbard,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Once a week,Casual hook-ups with multiple people,Casual hook-ups with multiple people
Female,Junior,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat satisfied,Andrew Yang,Very happy,Race relations/Racism,Somewhat unsafe,Very unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,Other,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Gun control,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Other,Other
Female,Sophomore,"Grants, covering some costs",No,Bisexual,Asian,"Life sciences, Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,Somewhat disapprove,Somewhat disapprove,Very dissatisfied,Andrew Yang,Somewhat happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Once or twice a month,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Senior,None,No,Heterosexual,White,"Humanities/arts, Life sciences",Yes,No,Domestic,No,Off campus,Strongly approve,Somewhat disapprove,Somewhat dissatisfied,Joe Biden,Very happy,Poverty/Homelessness,Somewhat safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Senior,"Grants, covering some costs",No,Other,Black,Humanities/arts,No,No,Domestic,No,Off campus,Strongly disapprove,Somewhat disapprove,Very dissatisfied,I am unsure,Somewhat happy,Race relations/Racism,Somewhat unsafe,Very unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Very happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Heterosexual,"White, Other","Business (BEO or econ), Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,Somewhat approve,No opinion,Very dissatisfied,Andrew Yang,Don't know,Current government leadership,Somewhat safe,Somewhat safe,Somewhat satisfied,Once or twice a month,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,Asian,"Humanities/arts, Business (BEO or econ)",No,No,Domestic,No,On campus,No opinion,Strongly approve,Very satisfied,Joe Biden,Very happy,Environment/Climate change,Somewhat safe,Somewhat safe,Very satisfied,Never,Consistent hook-ups with one other person,Do not know
Male,First-year,None,No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Bernie Sanders,Somewhat happy,Current government leadership,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Casual hook-ups with multiple people
Male,Sophomore,None,No,Heterosexual,Other,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,I am ineligible to vote,Somewhat happy,Environment/Climate change,Somewhat safe,Unsure,Somewhat satisfied,Never,Not in any kind of relationship,Do not know
Male,Sophomore,None,Yes,Bisexual,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat approve,Somewhat disapprove,Somewhat dissatisfied,I do not plan on voting,Don't know,Poverty/Homelessness,Very safe,Somewhat safe,Very satisfied,Daily,Other,Exclusive relationship with one other person
Male,Sophomore,None,No,Gay,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Casual hook-ups with multiple people,Casual hook-ups with multiple people
Male,Senior,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,Yes,Domestic,No,On campus,Somewhat approve,Somewhat approve,Very dissatisfied,Andrew Yang,Somewhat happy,Gap between rich and poor,Somewhat safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",No,Bisexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,Yes,On campus,Somewhat disapprove,No opinion,Somewhat dissatisfied,Bernie Sanders,Somewhat happy,Environment/Climate change,Somewhat unsafe,Somewhat unsafe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,"Grants, covering some costs",No,Bisexual,"White, Asian, Black","Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat dissatisfied,Beto O'Rourke,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,Other,Life sciences,No,Yes,International,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat dissatisfied,I am ineligible to vote,Very happy,Other,Somewhat unsafe,Very unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Senior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,Off campus,No opinion,No opinion,Very dissatisfied,Andrew Yang,Very happy,Healthcare,Very safe,Very safe,Very satisfied,Once or twice a month,Not in any kind of relationship,Consistent hook-ups with one other person
Male,Junior,"Grants, covering some costs",No,Heterosexual,White,Life sciences,No,No,Domestic,No,On campus,Somewhat approve,No opinion,Very dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Very safe,Very safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Junior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,Off campus,Strongly approve,Strongly approve,Somewhat dissatisfied,Pete Buttigieg,Somewhat happy,Race relations/Racism,Very safe,Very safe,Somewhat satisfied,Once a week,Not in any kind of relationship,Exclusive relationship with multiple people
Female,First-year,"Grants, covering all costs",No,Heterosexual,Hispanic,"Humanities/arts, Life sciences",No,Yes,Domestic,No,On campus,No opinion,Strongly approve,Very satisfied,Elizabeth Warren,Somewhat happy,Healthcare,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Bisexual,Asian,"Humanities/arts, Life sciences",No,Yes,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Somewhat satisfied,Kamala Harris,Not very happy,Race relations/Racism,Very safe,Very safe,Very unsatisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,I am unsure,Somewhat happy,Environment/Climate change,Somewhat safe,Unsure,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Life sciences, Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Strongly disapprove,Somewhat disapprove,Somewhat dissatisfied,Kamala Harris,Somewhat happy,Environment/Climate change,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Consistent hook-ups with one other person,Do not know
Female,First-year,None,No,Heterosexual,White,"Humanities/arts, Life sciences",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat satisfied,Bernie Sanders,Very happy,Environment/Climate change,Somewhat unsafe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Female,Senior,"Grants, covering all costs",No,Bisexual,"White, Asian",Social sciences (not incl. BEO or econ),No,Yes,Domestic,No,Off campus,Strongly disapprove,Somewhat approve,Very dissatisfied,I am unsure,Very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
